9.780140230000000000e+08,9.574890136718750000e-04,2.429969787597656250e+00,3.279953002929687500e-01,5.000000000000000000e+00
9.780142160000000000e+08,-7.056236267089843750e-03,4.257894515991210938e+00,5.025653839111328125e-01,5.000000000000000000e+00
9.780144080000000000e+08,1.343035697937011719e-02,5.627399921417236328e+00,5.954489707946777344e-01,5.000000000000000000e+00
9.780145990000000000e+08,4.973417520523071289e-02,6.641368389129638672e+00,6.972352266311645508e-01,5.000000000000000000e+00
9.780147910000000000e+08,9.676413238048553467e-02,7.405254840850830078e+00,8.015099763870239258e-01,5.000000000000000000e+00
9.780149830000000000e+08,1.048759520053863525e-01,7.978349208831787109e+00,8.795366883277893066e-01,5.000000000000000000e+00
9.780151740000000000e+08,6.340198963880538940e-02,8.419236183166503906e+00,9.345892071723937988e-01,5.000000000000000000e+00
9.780153660000000000e+08,8.876930177211761475e-02,8.729981422424316406e+00,1.002676844596862793e+00,5.000000000000000000e+00
9.780155570000000000e+08,1.038465648889541626e-01,8.967827796936035156e+00,1.025387883186340332e+00,5.000000000000000000e+00
9.780157490000000000e+08,1.293299347162246704e-01,9.157217025756835938e+00,1.072572588920593262e+00,5.000000000000000000e+00
9.780159410000000000e+08,1.497013121843338013e-01,9.283768653869628906e+00,1.093663573265075684e+00,5.000000000000000000e+00
9.780161320000000000e+08,7.710065692663192749e-02,9.398121833801269531e+00,1.124015808105468750e+00,5.000000000000000000e+00
9.780163240000000000e+08,4.867403209209442139e-02,9.469588279724121094e+00,1.050947189331054688e+00,5.000000000000000000e+00
9.780165140000000000e+08,-2.271764911711215973e-02,9.547775268554687500e+00,1.021093845367431641e+00,5.000000000000000000e+00
9.780167080000000000e+08,8.537493646144866943e-02,9.570106506347656250e+00,1.014614939689636230e+00,5.000000000000000000e+00
9.780168990000000000e+08,1.654868870973587036e-01,9.611139297485351562e+00,1.055097222328186035e+00,5.000000000000000000e+00
9.780170900000000000e+08,2.249719500541687012e-01,9.633002281188964844e+00,1.038503885269165039e+00,5.000000000000000000e+00
9.780172820000000000e+08,2.670146524906158447e-01,9.644494056701660156e+00,1.035088300704956055e+00,5.000000000000000000e+00
9.780174740000000000e+08,2.835930287837982178e-01,9.666335105895996094e+00,1.088102817535400391e+00,5.000000000000000000e+00
9.780176650000000000e+08,3.041597902774810791e-01,9.670451164245605469e+00,1.086527705192565918e+00,5.000000000000000000e+00
